"","id","hand","year","month","day","hour","minute","seconds","blocking","block","trial","iti","rt","response_time","too_soon","too_late","xfix","yfix","xtarget","ytarget"
"185",4,2,2017,11,30,9,58,19.553,2,1,5,1.6324,0.40097,0.85711,0,0,1787,533,662,562
"186",4,2,2017,11,30,9,58,19.553,2,1,6,1.0975,0.79821,2.2582,0,0,1800,531,638,538
"187",4,2,2017,11,30,9,58,19.553,2,1,7,1.2785,0.7255,1.613,0,0,1800,545,635,531
"188",4,2,2017,11,30,9,58,19.553,2,1,8,1.5469,0.41987,1.1902,0,0,1790,542,643,469
"189",4,2,2017,11,30,9,58,19.553,2,1,9,1.9575,0.3906,0.88421,0,0,1791,534,614,520
"190",4,2,2017,11,30,9,58,19.553,2,1,10,1.9649,0.35801,1.4467,0,0,1792,534,653,550
"191",4,2,2017,11,30,9,58,19.553,2,2,1,1.7513,0.3373,1.0193,0,0,1794,536,597,513
"192",4,2,2017,11,30,9,58,19.553,2,2,2,1.2551,0.75773,NA,0,1,1799,541,NA,NA
"193",4,2,2017,11,30,9,58,19.553,2,2,3,1.506,0.54254,1.2326,0,0,1798,537,609,529
"194",4,2,2017,11,30,9,58,19.553,2,2,4,1.6991,0.49415,1.2933,0,0,1780,534,647,507
"195",4,2,2017,11,30,9,58,19.553,2,2,5,1.8909,0.49311,2.5933,0,0,1796,543,685,555
"196",4,2,2017,11,30,9,58,19.553,2,2,6,1.9593,0.5865,1.5677,0,0,1789,533,540,495
"197",4,2,2017,11,30,9,58,19.553,2,2,7,1.5472,0.58881,1.7223,0,0,1787,536,666,537
"198",4,2,2017,11,30,9,58,19.553,2,2,8,1.1386,0.66931,2.0645,0,0,1804,537,657,550
"199",4,2,2017,11,30,9,58,19.553,2,2,9,1.1493,0.49027,2.2112,0,0,1798,536,641,524
"200",4,2,2017,11,30,9,58,19.553,2,2,10,1.2575,0.51961,2.2326,0,0,1805,540,640,517
"201",4,2,2017,11,30,9,58,19.553,2,2,11,1.8407,0.3862,1.1268,0,0,1786,533,705,556
"202",4,2,2017,11,30,9,58,19.553,2,2,12,1.2543,0.36669,1.0118,0,0,1782,534,602,513
"203",4,2,2017,11,30,9,58,19.553,2,2,13,1.8143,0.40095,0.9602,0,0,1799,534,685,532
"204",4,2,2017,11,30,9,58,19.553,2,2,14,1.2435,0.72099,1.6203,0,0,1812,547,642,535
"205",4,2,2017,11,30,9,58,19.553,2,2,15,1.9293,0.34226,0.86537,0,0,1794,544,647,523
"206",4,2,2017,11,30,9,58,19.553,2,2,16,1.35,0.49109,0.97807,0,0,1794,537,643,524
"207",4,2,2017,11,30,9,58,19.553,2,2,17,1.1966,0.3604,2.1457,0,0,1805,526,667,544
"208",4,2,2017,11,30,9,58,19.553,2,2,18,1.2511,0.43427,1.6623,0,0,1792,534,620,539
"209",4,2,2017,11,30,9,58,19.553,2,2,19,1.616,0.37752,NA,0,1,1780,536,NA,NA
"210",4,2,2017,11,30,9,58,19.553,2,2,20,1.4733,0.42006,0.96524,0,0,1820,538,601,556
"211",4,2,2017,11,30,9,58,19.553,2,3,1,1.1067,0.29364,0.95314,0,0,1783,530,648,518
"212",4,2,2017,11,30,9,58,19.553,2,3,2,1.9619,0.33858,1.0997,0,0,1810,557,650,532
"213",4,2,2017,11,30,9,58,19.553,2,3,3,1.0046,0.31783,1.087,0,0,1780,548,661,521
"214",4,2,2017,11,30,9,58,19.553,2,3,4,1.7749,0.35191,1.2653,0,0,1810,535,653,524
"215",4,2,2017,11,30,9,58,19.553,2,3,5,1.8173,NA,NA,1,0,1802,520,NA,NA
"216",4,2,2017,11,30,9,58,19.553,2,3,6,1.8687,0.50493,1.8985,0,0,1800,534,659,535
"217",4,2,2017,11,30,9,58,19.553,2,3,7,1.0844,0.4915,1.0649,0,0,1794,537,656,531
"218",4,2,2017,11,30,9,58,19.553,2,3,8,1.3998,0.61531,1.3345,0,0,1780,536,651,523
"219",4,2,2017,11,30,9,58,19.553,2,3,9,1.2599,0.54238,NA,0,1,1787,531,NA,NA
"220",4,2,2017,11,30,9,58,19.553,2,3,10,1.8001,0.47613,1.2984,0,0,1796,535,653,541
"221",4,2,2017,11,30,9,58,19.553,2,4,1,1.547,0.40414,1.0064,0,0,1811,546,647,509
"222",4,2,2017,11,30,9,58,19.553,2,4,2,1.2963,0.48902,NA,0,1,1802,535,NA,NA
"223",4,2,2017,11,30,9,58,19.553,2,4,3,1.7447,0.53927,1.1406,0,0,1802,528,630,540
"224",4,2,2017,11,30,9,58,19.553,2,4,4,1.189,0.40772,NA,0,1,1803,525,NA,NA
"225",4,2,2017,11,30,9,58,19.553,2,4,5,1.6868,0.37441,0.98417,0,0,1806,533,631,523
"226",4,2,2017,11,30,9,58,19.553,2,4,6,1.1835,0.44045,2.4229,0,0,1797,532,654,532
"227",4,2,2017,11,30,9,58,19.553,2,4,7,1.3685,0.49111,0.87606,0,0,1794,535,694,515
"228",4,2,2017,11,30,9,58,19.553,2,4,8,1.6256,0.42764,1.1748,0,0,1780,537,653,526
"229",4,2,2017,11,30,9,58,19.553,2,4,9,1.7802,0.35392,0.91928,0,0,1780,536,635,545
"230",4,2,2017,11,30,9,58,19.553,2,4,10,1.0811,0.79286,2.5436,0,0,1806,538,653,528
"231",4,2,2017,11,30,9,58,19.553,2,4,11,1.9294,0.32829,NA,0,1,1800,538,NA,NA
"232",4,2,2017,11,30,9,58,19.553,2,4,12,1.7757,0.41693,1.3392,0,0,1802,529,654,532
"233",4,2,2017,11,30,9,58,19.553,2,4,13,1.4868,0.31278,NA,0,1,1804,538,NA,NA
"234",4,2,2017,11,30,9,58,19.553,2,4,14,1.4359,0.4186,0.96975,0,0,1792,540,629,538
"235",4,2,2017,11,30,9,58,19.553,2,4,15,1.4468,0.47768,0.92074,0,0,1793,537,631,512
"236",4,2,2017,11,30,9,58,19.553,2,4,16,1.3063,0.4674,1.7019,0,0,1799,520,667,525
"237",4,2,2017,11,30,9,58,19.553,2,4,17,1.5085,0.36462,1.7808,0,0,1780,543,658,533
"238",4,2,2017,11,30,9,58,19.553,2,4,18,1.5108,0.38121,1.2375,0,0,1795,523,653,527
"239",4,2,2017,11,30,9,58,19.553,2,4,19,1.8176,0.31632,1.4049,0,0,1784,551,665,535
"240",4,2,2017,11,30,9,58,19.553,2,4,20,1.7948,0.43193,1.2171,0,0,1780,538,635,527
"241",5,2,2017,11,23,10,54,37.94,1,1,1,1.8147,0.59871,0.97698,0,0,1801,544,701,544
"242",5,2,2017,11,23,10,54,37.94,1,1,2,1.9058,0.52143,NA,0,1,1784,536,NA,NA
"243",5,2,2017,11,23,10,54,37.94,1,1,3,1.127,0.38621,0.94657,0,0,1802,543,684,560
"244",5,2,2017,11,23,10,54,37.94,1,1,4,1.9134,0.43894,NA,0,1,1785,545,NA,NA
